Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22576107	(1.0, 75.47282958317554)	(2.0, 15.528377981806084)	(3.0, 4.403164635816492)	(4.0, 1.7031676242191616)	(5.0, 0.8407315448698262)	(6.0, 0.4848314813414828)	(7.0, 0.288085504685143)	(8.0, 0.2138466965964227)	(9.0, 0.15151965275075205)	('>10', 0.7874269203343113)	('>50', 0.06008463245344849)	('>100', 0.0315645350360834)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.03436920691528714)
SRR22576108	(1.0, 70.86963317466025)	(2.0, 17.681656497465497)	(3.0, 5.5643367436124604)	(4.0, 2.271027532542522)	(5.0, 1.09637154723452)	(6.0, 0.6715714813157517)	(7.0, 0.3956295645153119)	(8.0, 0.27821812180118544)	(9.0, 0.16755766712786296)	('>10', 0.835087721370738)	('>50', 0.07541713329456683)	('>100', 0.05851615017686368)	('>500', 0.0018392958366745653)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0331373690458452)
SRR22576109	(1.0, 72.39038669792876)	(2.0, 16.482796758927414)	(3.0, 5.306362335486624)	(4.0, 2.169911225008849)	(5.0, 1.1396251863670177)	(6.0, 0.6897179040313738)	(7.0, 0.3775370673773956)	(8.0, 0.2671498224504589)	(9.0, 0.17564617202927277)	('>10', 0.8417055735267129)	('>50', 0.05763572606672959)	('>100', 0.0725886185830998)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.028936912216328874)
SRR22576110	(1.0, 54.399890154025435)	(2.0, 21.053446470600107)	(3.0, 8.92669292252309)	(4.0, 4.145401542483081)	(5.0, 2.211789874563799)	(6.0, 1.5332832981975222)	(7.0, 0.9996124078341593)	(8.0, 0.7297751826186591)	(9.0, 0.5908650500888473)	('>10', 3.9264254333173607)	('>50', 0.5666168931880243)	('>100', 0.785152969200419)	('>500', 0.059905979982185144)	('>1k', 0.01710481554236915)	('>5k', 0.0)	('>10k+', 0.05403700583508132)
SRR22576112	(1.0, 41.73832210600621)	(2.0, 18.785770505909287)	(3.0, 9.149205488105547)	(4.0, 5.230471621744087)	(5.0, 3.3599620666108194)	(6.0, 2.4386867813751554)	(7.0, 1.9870651655730334)	(8.0, 1.5823632068157616)	(9.0, 1.2525811246246668)	('>10', 11.662848574128974)	('>50', 1.6622135646927156)	('>100', 0.9680079032511805)	('>500', 0.08686883767433229)	('>1k', 0.0605805232108097)	('>5k', 0.0)	('>10k+', 0.035052530277280974)
SRR22576113	(1.0, 79.36424469285805)	(2.0, 14.787072845120527)	(3.0, 3.443257921154582)	(4.0, 1.12948648437957)	(5.0, 0.522273970063558)	(6.0, 0.2634805028632946)	(7.0, 0.14701172301808615)	(8.0, 0.09577990493427145)	(9.0, 0.05047452610034932)	('>10', 0.14849038513405985)	('>50', 0.00972976324713429)	('>100', 0.008122638022640388)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.030574643103853355)
SRR22576114	(1.0, 73.30545397913492)	(2.0, 18.61207097380114)	(3.0, 4.281849972755946)	(4.0, 1.285450350332476)	(5.0, 0.5850670846246385)	(6.0, 0.30476765068475353)	(7.0, 0.1845931161627934)	(8.0, 0.1636392976949074)	(9.0, 0.11452679511070774)	('>10', 1.0203335206338189)	('>50', 0.07203002400940482)	('>100', 0.018222742255113493)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.051994492799469265)
SRR22576115	(1.0, 50.027143700710276)	(2.0, 16.43368408050144)	(3.0, 7.27718891189607)	(4.0, 4.310387872805577)	(5.0, 2.859637575509131)	(6.0, 2.1776886095394765)	(7.0, 1.6800408144197694)	(8.0, 1.3708870101011337)	(9.0, 1.1694646598902192)	('>10', 10.736923063803248)	('>50', 0.8496278009379349)	('>100', 0.7829579135473571)	('>500', 0.1568599835970718)	('>1k', 0.08637396842201012)	('>5k', 0.0)	('>10k+', 0.0811340343193007)
SRR22576116	(1.0, 70.7614802790892)	(2.0, 20.55421700169627)	(3.0, 5.172662764415699)	(4.0, 1.6580110867412279)	(5.0, 0.6071599644833336)	(6.0, 0.34590188754756246)	(7.0, 0.17257009853113098)	(8.0, 0.13052197748614086)	(9.0, 0.075353716654774)	('>10', 0.4385690991829357)	('>50', 0.01670074894507549)	('>100', 0.014368133731282443)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.05248324149538323)
SRR22576117	(1.0, 63.3106277559057)	(2.0, 21.901848677167106)	(3.0, 7.348315636277791)	(4.0, 2.8520502958389216)	(5.0, 1.4121712096854024)	(6.0, 0.8210593245943436)	(7.0, 0.4808418258977282)	(8.0, 0.37182209539493977)	(9.0, 0.2496668516439128)	('>10', 1.131934205166137)	('>50', 0.03700757583938376)	('>100', 0.01942108786875395)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06323345871992049)
