Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
SRR22576105	(9.0, 1.0)	(10.0, 1.0)	(11.0, 22.0)	(12.0, 1240.0)	(13.0, 7765.0)	(14.0, 19051.0)	(15.0, 25160.0)	(16.0, 26922.0)	(17.0, 27364.0)	(18.0, 32854.0)	(19.0, 49667.0)	(20.0, 84821.0)	(21.0, 150318.0)	(22.0, 254067.0)	(23.0, 389244.0)	(24.0, 522735.0)	(25.0, 628929.0)	(26.0, 739640.0)	(27.0, 896009.0)	(28.0, 1115166.0)	(29.0, 1443334.0)	(30.0, 1910473.0)	(31.0, 2679369.0)	(32.0, 4019736.0)	(33.0, 6608316.0)	(34.0, 13971218.0)	(35.0, 49117903.0)	(36.0, 192226747.0)	(37.0, 18115939.0)
SRR22576106	(11.0, 3.0)	(12.0, 99.0)	(13.0, 882.0)	(14.0, 2376.0)	(15.0, 3378.0)	(16.0, 4046.0)	(17.0, 4955.0)	(18.0, 6852.0)	(19.0, 11764.0)	(20.0, 22454.0)	(21.0, 42334.0)	(22.0, 74016.0)	(23.0, 121370.0)	(24.0, 187944.0)	(25.0, 270332.0)	(26.0, 366013.0)	(27.0, 483042.0)	(28.0, 626915.0)	(29.0, 807365.0)	(30.0, 1041986.0)	(31.0, 1362924.0)	(32.0, 1865893.0)	(33.0, 2824672.0)	(34.0, 5484826.0)	(35.0, 11710057.0)	(36.0, 17264043.0)	(37.0, 85062.0)		
SRR22576107	(11.0, 3.0)	(12.0, 107.0)	(13.0, 809.0)	(14.0, 1974.0)	(15.0, 2804.0)	(16.0, 3534.0)	(17.0, 5065.0)	(18.0, 8256.0)	(19.0, 15709.0)	(20.0, 30112.0)	(21.0, 52708.0)	(22.0, 82640.0)	(23.0, 119835.0)	(24.0, 165115.0)	(25.0, 220508.0)	(26.0, 289714.0)	(27.0, 380247.0)	(28.0, 501860.0)	(29.0, 666334.0)	(30.0, 895196.0)	(31.0, 1228148.0)	(32.0, 1763542.0)	(33.0, 2766572.0)	(34.0, 5184488.0)	(35.0, 11140134.0)	(36.0, 12932036.0)	(37.0, 49110.0)		
SRR22576108	(12.0, 81.0)	(13.0, 727.0)	(14.0, 2001.0)	(15.0, 2943.0)	(16.0, 3471.0)	(17.0, 4130.0)	(18.0, 5845.0)	(19.0, 9829.0)	(20.0, 18371.0)	(21.0, 35309.0)	(22.0, 62998.0)	(23.0, 103921.0)	(24.0, 161319.0)	(25.0, 233239.0)	(26.0, 319468.0)	(27.0, 421441.0)	(28.0, 550573.0)	(29.0, 711720.0)	(30.0, 921334.0)	(31.0, 1208926.0)	(32.0, 1645328.0)	(33.0, 2468514.0)	(34.0, 4702349.0)	(35.0, 10802343.0)	(36.0, 16871644.0)	(37.0, 101103.0)			
SRR22576109	(11.0, 2.0)	(12.0, 82.0)	(13.0, 683.0)	(14.0, 1840.0)	(15.0, 3036.0)	(16.0, 4016.0)	(17.0, 5602.0)	(18.0, 8750.0)	(19.0, 15796.0)	(20.0, 30217.0)	(21.0, 55602.0)	(22.0, 93160.0)	(23.0, 144931.0)	(24.0, 208127.0)	(25.0, 279966.0)	(26.0, 364970.0)	(27.0, 472466.0)	(28.0, 613496.0)	(29.0, 797823.0)	(30.0, 1049484.0)	(31.0, 1410217.0)	(32.0, 1977839.0)	(33.0, 3016564.0)	(34.0, 5396638.0)	(35.0, 11150227.0)	(36.0, 13725126.0)	(37.0, 47608.0)		
SRR22576110	(10.0, 2.0)	(11.0, 23.0)	(12.0, 1390.0)	(13.0, 9553.0)	(14.0, 26077.0)	(15.0, 42042.0)	(16.0, 52619.0)	(17.0, 69589.0)	(18.0, 105685.0)	(19.0, 176486.0)	(20.0, 314422.0)	(21.0, 585201.0)	(22.0, 1092252.0)	(23.0, 1831916.0)	(24.0, 2605436.0)	(25.0, 3213926.0)	(26.0, 3722802.0)	(27.0, 4394769.0)	(28.0, 5315255.0)	(29.0, 6717483.0)	(30.0, 8772508.0)	(31.0, 12306705.0)	(32.0, 18828380.0)	(33.0, 32015192.0)	(34.0, 64757098.0)	(35.0, 165624067.0)	(36.0, 378918285.0)	(37.0, 16535392.0)	
SRR22576112	(11.0, 23.0)	(12.0, 943.0)	(13.0, 7392.0)	(14.0, 22048.0)	(15.0, 36533.0)	(16.0, 45244.0)	(17.0, 53606.0)	(18.0, 68454.0)	(19.0, 100432.0)	(20.0, 171233.0)	(21.0, 315326.0)	(22.0, 573628.0)	(23.0, 954885.0)	(24.0, 1378860.0)	(25.0, 1766128.0)	(26.0, 2133111.0)	(27.0, 2633637.0)	(28.0, 3334991.0)	(29.0, 4404660.0)	(30.0, 5977490.0)	(31.0, 8621888.0)	(32.0, 13499842.0)	(33.0, 23917308.0)	(34.0, 52530162.0)	(35.0, 161123401.0)	(36.0, 538053798.0)	(37.0, 28472269.0)		
SRR22576113	(11.0, 3.0)	(12.0, 73.0)	(13.0, 664.0)	(14.0, 1601.0)	(15.0, 2530.0)	(16.0, 3153.0)	(17.0, 3671.0)	(18.0, 5299.0)	(19.0, 9005.0)	(20.0, 18424.0)	(21.0, 36760.0)	(22.0, 69311.0)	(23.0, 123309.0)	(24.0, 201120.0)	(25.0, 294737.0)	(26.0, 395671.0)	(27.0, 512065.0)	(28.0, 652885.0)	(29.0, 829773.0)	(30.0, 1055773.0)	(31.0, 1367754.0)	(32.0, 1849830.0)	(33.0, 2766148.0)	(34.0, 5138045.0)	(35.0, 11322100.0)	(36.0, 16227707.0)	(37.0, 71560.0)		
SRR22576114	(11.0, 9.0)	(12.0, 276.0)	(13.0, 1592.0)	(14.0, 3756.0)	(15.0, 4914.0)	(16.0, 5722.0)	(17.0, 7042.0)	(18.0, 10057.0)	(19.0, 16381.0)	(20.0, 28770.0)	(21.0, 51246.0)	(22.0, 89663.0)	(23.0, 144257.0)	(24.0, 199535.0)	(25.0, 245535.0)	(26.0, 289737.0)	(27.0, 352687.0)	(28.0, 437036.0)	(29.0, 562585.0)	(30.0, 743590.0)	(31.0, 1035459.0)	(32.0, 1556071.0)	(33.0, 2576979.0)	(34.0, 5132267.0)	(35.0, 14191512.0)	(36.0, 48353282.0)	(37.0, 3263268.0)		
SRR22576115	(11.0, 12.0)	(12.0, 651.0)	(13.0, 3922.0)	(14.0, 9515.0)	(15.0, 13340.0)	(16.0, 15060.0)	(17.0, 16021.0)	(18.0, 20328.0)	(19.0, 30110.0)	(20.0, 50815.0)	(21.0, 87823.0)	(22.0, 147133.0)	(23.0, 225009.0)	(24.0, 299619.0)	(25.0, 354845.0)	(26.0, 408438.0)	(27.0, 489019.0)	(28.0, 607092.0)	(29.0, 781460.0)	(30.0, 1029831.0)	(31.0, 1444460.0)	(32.0, 2180231.0)	(33.0, 3562505.0)	(34.0, 7104784.0)	(35.0, 23446043.0)	(36.0, 101978932.0)	(37.0, 10567372.0)		
SRR22576116	(11.0, 15.0)	(12.0, 314.0)	(13.0, 1553.0)	(14.0, 3092.0)	(15.0, 4276.0)	(16.0, 4770.0)	(17.0, 5965.0)	(18.0, 8570.0)	(19.0, 13480.0)	(20.0, 23298.0)	(21.0, 41784.0)	(22.0, 73305.0)	(23.0, 117119.0)	(24.0, 159823.0)	(25.0, 191339.0)	(26.0, 226695.0)	(27.0, 282173.0)	(28.0, 363361.0)	(29.0, 495443.0)	(30.0, 696794.0)	(31.0, 1054407.0)	(32.0, 1721589.0)	(33.0, 3095116.0)	(34.0, 6433778.0)	(35.0, 17141770.0)	(36.0, 45582937.0)	(37.0, 2281801.0)		
SRR22576117	(11.0, 32.0)	(12.0, 679.0)	(13.0, 3107.0)	(14.0, 6171.0)	(15.0, 7808.0)	(16.0, 8910.0)	(17.0, 11140.0)	(18.0, 17776.0)	(19.0, 30945.0)	(20.0, 54920.0)	(21.0, 94305.0)	(22.0, 152942.0)	(23.0, 233407.0)	(24.0, 324649.0)	(25.0, 421440.0)	(26.0, 521233.0)	(27.0, 652236.0)	(28.0, 816566.0)	(29.0, 1058304.0)	(30.0, 1401621.0)	(31.0, 1958960.0)	(32.0, 2916724.0)	(33.0, 4703992.0)	(34.0, 8772703.0)	(35.0, 21750425.0)	(36.0, 71299838.0)	(37.0, 4701357.0)		
SRR22576118	(11.0, 1.0)	(12.0, 103.0)	(13.0, 720.0)	(14.0, 1828.0)	(15.0, 2505.0)	(16.0, 3186.0)	(17.0, 4705.0)	(18.0, 8158.0)	(19.0, 15378.0)	(20.0, 29534.0)	(21.0, 55086.0)	(22.0, 97839.0)	(23.0, 164031.0)	(24.0, 258670.0)	(25.0, 363522.0)	(26.0, 472140.0)	(27.0, 591855.0)	(28.0, 733791.0)	(29.0, 908396.0)	(30.0, 1131899.0)	(31.0, 1451736.0)	(32.0, 1946684.0)	(33.0, 2866275.0)	(34.0, 5069618.0)	(35.0, 10312025.0)	(36.0, 12902510.0)	(37.0, 53227.0)		
SRR22576119	(11.0, 15.0)	(12.0, 321.0)	(13.0, 2053.0)	(14.0, 5097.0)	(15.0, 7130.0)	(16.0, 7593.0)	(17.0, 7592.0)	(18.0, 8630.0)	(19.0, 12330.0)	(20.0, 21405.0)	(21.0, 39699.0)	(22.0, 72841.0)	(23.0, 119689.0)	(24.0, 161806.0)	(25.0, 182840.0)	(26.0, 198034.0)	(27.0, 231026.0)	(28.0, 289284.0)	(29.0, 378758.0)	(30.0, 511206.0)	(31.0, 731288.0)	(32.0, 1116059.0)	(33.0, 1888042.0)	(34.0, 3988001.0)	(35.0, 13393459.0)	(36.0, 56314846.0)	(37.0, 4328796.0)		
SRR22576120	(11.0, 35.0)	(12.0, 1194.0)	(13.0, 5048.0)	(14.0, 10009.0)	(15.0, 13361.0)	(16.0, 15516.0)	(17.0, 18282.0)	(18.0, 25083.0)	(19.0, 40138.0)	(20.0, 68175.0)	(21.0, 117294.0)	(22.0, 193531.0)	(23.0, 289671.0)	(24.0, 382623.0)	(25.0, 448938.0)	(26.0, 514925.0)	(27.0, 616884.0)	(28.0, 760723.0)	(29.0, 976534.0)	(30.0, 1281807.0)	(31.0, 1794881.0)	(32.0, 2703067.0)	(33.0, 4415241.0)	(34.0, 8844585.0)	(35.0, 29255913.0)	(36.0, 110003755.0)	(37.0, 10059729.0)		
SRR22576121	(11.0, 23.0)	(12.0, 434.0)	(13.0, 1863.0)	(14.0, 4056.0)	(15.0, 5291.0)	(16.0, 6208.0)	(17.0, 7476.0)	(18.0, 11267.0)	(19.0, 18878.0)	(20.0, 32485.0)	(21.0, 55757.0)	(22.0, 94553.0)	(23.0, 148865.0)	(24.0, 202752.0)	(25.0, 244756.0)	(26.0, 284307.0)	(27.0, 343094.0)	(28.0, 426507.0)	(29.0, 547222.0)	(30.0, 716996.0)	(31.0, 987440.0)	(32.0, 1454355.0)	(33.0, 2327427.0)	(34.0, 4492727.0)	(35.0, 13452279.0)	(36.0, 54091673.0)	(37.0, 4765210.0)		
