Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR22576106	(50, 116392.0)	(55, 114203.0)	(60, 115497.0)	(65, 116729.0)	(70, 117408.0)	(75, 117525.0)	(80, 118120.0)	(85, 120217.0)	(90, 128194.0)	(95, 128212.0)	(100, 140201.0)	(105, 152506.0)	(110, 158351.0)	(115, 173583.0)	(120, 175801.0)	(125, 184666.0)	(130, 191689.0)	(135, 204988.0)	(140, 205937.0)	(145, 220272.0)	(150, 230950.0)	(155, 238187.0)	(160, 256302.0)	(165, 258896.0)	(170, 282380.0)	(175, 310971.0)	(180, 310114.0)	(185, 325982.0)	(190, 364490.0)	(195, 367764.0)	(200, 396162.0)	(205, 426088.0)	(210, 458734.0)	(215, 512973.0)	(220, 536033.0)	(225, 563003.0)	(230, 571847.0)	(235, 599581.0)	(240, 667857.0)	(245, 2740374.0)	(250, 28468217.0)
SRR22576107	(50, 98441.0)	(55, 97316.0)	(60, 99805.0)	(65, 103282.0)	(70, 104148.0)	(75, 104155.0)	(80, 106783.0)	(85, 109402.0)	(90, 117351.0)	(95, 116362.0)	(100, 128871.0)	(105, 141350.0)	(110, 146793.0)	(115, 161994.0)	(120, 162817.0)	(125, 170463.0)	(130, 177097.0)	(135, 188077.0)	(140, 188485.0)	(145, 201408.0)	(150, 209693.0)	(155, 214919.0)	(160, 232900.0)	(165, 230235.0)	(170, 252590.0)	(175, 274478.0)	(180, 274177.0)	(185, 283173.0)	(190, 321083.0)	(195, 314528.0)	(200, 342644.0)	(205, 362228.0)	(210, 392259.0)	(215, 437368.0)	(220, 456382.0)	(225, 473637.0)	(230, 478714.0)	(235, 497482.0)	(240, 558400.0)	(245, 2400712.0)	(250, 24144908.0)
SRR22576108	(50, 101514.0)	(55, 99690.0)	(60, 100406.0)	(65, 100868.0)	(70, 101137.0)	(75, 100311.0)	(80, 101021.0)	(85, 103491.0)	(90, 108562.0)	(95, 107549.0)	(100, 118272.0)	(105, 131069.0)	(110, 135835.0)	(115, 151104.0)	(120, 150771.0)	(125, 158992.0)	(130, 166048.0)	(135, 180819.0)	(140, 179946.0)	(145, 195821.0)	(150, 205418.0)	(155, 215762.0)	(160, 233301.0)	(165, 238421.0)	(170, 261205.0)	(175, 288117.0)	(180, 298304.0)	(185, 310392.0)	(190, 353499.0)	(195, 356376.0)	(200, 393337.0)	(205, 420176.0)	(210, 463016.0)	(215, 508413.0)	(220, 545409.0)	(225, 569629.0)	(230, 591468.0)	(235, 621786.0)	(240, 693886.0)	(245, 2573642.0)	(250, 26135387.0)
SRR22576109	(50, 120758.0)	(55, 119388.0)	(60, 120690.0)	(65, 123703.0)	(70, 124220.0)	(75, 123822.0)	(80, 124784.0)	(85, 127426.0)	(90, 135099.0)	(95, 131010.0)	(100, 141730.0)	(105, 152405.0)	(110, 156619.0)	(115, 170638.0)	(120, 170846.0)	(125, 177050.0)	(130, 183264.0)	(135, 192745.0)	(140, 193923.0)	(145, 203985.0)	(150, 213422.0)	(155, 217015.0)	(160, 235437.0)	(165, 230342.0)	(170, 253282.0)	(175, 273960.0)	(180, 271983.0)	(185, 279931.0)	(190, 318113.0)	(195, 309397.0)	(200, 335193.0)	(205, 354702.0)	(210, 383539.0)	(215, 429776.0)	(220, 446518.0)	(225, 463369.0)	(230, 466018.0)	(235, 481693.0)	(240, 544192.0)	(245, 2515210.0)	(250, 25945501.0)
SRR22576110	(50, 1820489.0)	(55, 1743159.0)	(60, 1682480.0)	(65, 1721400.0)	(70, 1770524.0)	(75, 1824415.0)	(80, 1834866.0)	(85, 1907003.0)	(90, 2009805.0)	(95, 2075049.0)	(100, 2218950.0)	(105, 2662974.0)	(110, 2857890.0)	(115, 3149543.0)	(120, 3399800.0)	(125, 3659959.0)	(130, 3776081.0)	(135, 3896647.0)	(140, 4291541.0)	(145, 28781700.0)	(150, 611186527.0)																				
SRR22576112	(50, 1212173.0)	(55, 1162069.0)	(60, 1114453.0)	(65, 1155396.0)	(70, 1212120.0)	(75, 1256258.0)	(80, 1297966.0)	(85, 1349481.0)	(90, 1416526.0)	(95, 1467669.0)	(100, 1504195.0)	(105, 1734431.0)	(110, 1846683.0)	(115, 2016087.0)	(120, 2219434.0)	(125, 2451829.0)	(130, 2562179.0)	(135, 2717270.0)	(140, 3027026.0)	(145, 26564260.0)	(150, 757514473.0)																				
SRR22576113	(50, 119311.0)	(55, 115926.0)	(60, 115828.0)	(65, 117150.0)	(70, 118229.0)	(75, 116408.0)	(80, 117329.0)	(85, 119377.0)	(90, 126547.0)	(95, 126047.0)	(100, 139607.0)	(105, 154153.0)	(110, 159117.0)	(115, 176274.0)	(120, 176227.0)	(125, 183991.0)	(130, 190293.0)	(135, 203463.0)	(140, 201963.0)	(145, 216723.0)	(150, 225452.0)	(155, 231871.0)	(160, 250286.0)	(165, 248831.0)	(170, 272482.0)	(175, 295249.0)	(180, 298869.0)	(185, 306256.0)	(190, 346013.0)	(195, 340872.0)	(200, 371392.0)	(205, 392546.0)	(210, 426115.0)	(215, 473060.0)	(220, 494341.0)	(225, 514934.0)	(230, 523608.0)	(235, 544467.0)	(240, 611023.0)	(245, 2633738.0)	(250, 27301382.0)
SRR22576114	(50, 136783.0)	(55, 134508.0)	(60, 138706.0)	(65, 146183.0)	(70, 146241.0)	(75, 152127.0)	(80, 154851.0)	(85, 161755.0)	(90, 169278.0)	(95, 179595.0)	(100, 224398.0)	(105, 279059.0)	(110, 296649.0)	(115, 354227.0)	(120, 368934.0)	(125, 388805.0)	(130, 400162.0)	(135, 442713.0)	(140, 477282.0)	(145, 2781976.0)	(150, 68286906.0)																				
SRR22576115	(50, 178735.0)	(55, 173529.0)	(60, 177995.0)	(65, 186348.0)	(70, 184967.0)	(75, 190403.0)	(80, 193763.0)	(85, 199370.0)	(90, 212709.0)	(95, 234227.0)	(100, 495984.0)	(105, 868198.0)	(110, 1082265.0)	(115, 1355938.0)	(120, 1457452.0)	(125, 1478559.0)	(130, 1510471.0)	(135, 1601458.0)	(140, 1665088.0)	(145, 5125920.0)	(150, 130136751.0)																				
SRR22576116	(50, 131565.0)	(55, 130098.0)	(60, 136926.0)	(65, 145903.0)	(70, 146118.0)	(75, 155017.0)	(80, 158475.0)	(85, 169553.0)	(90, 178050.0)	(95, 189357.0)	(100, 225343.0)	(105, 267892.0)	(110, 282609.0)	(115, 331729.0)	(120, 349683.0)	(125, 370542.0)	(130, 382541.0)	(135, 423244.0)	(140, 463926.0)	(145, 3026741.0)	(150, 68686971.0)																				
SRR22576117	(50, 278899.0)	(55, 273416.0)	(60, 278298.0)	(65, 288635.0)	(70, 286517.0)	(75, 294365.0)	(80, 296164.0)	(85, 306806.0)	(90, 317434.0)	(95, 328113.0)	(100, 358391.0)	(105, 393067.0)	(110, 400148.0)	(115, 445781.0)	(120, 462931.0)	(125, 484238.0)	(130, 496110.0)	(135, 541931.0)	(140, 589326.0)	(145, 4139061.0)	(150, 104724748.0)																				
SRR22576118	(50, 141550.0)	(55, 137542.0)	(60, 137736.0)	(65, 139247.0)	(70, 139362.0)	(75, 137920.0)	(80, 138689.0)	(85, 141040.0)	(90, 148852.0)	(95, 146707.0)	(100, 159744.0)	(105, 172800.0)	(110, 177686.0)	(115, 193469.0)	(120, 192663.0)	(125, 199621.0)	(130, 205405.0)	(135, 217383.0)	(140, 215420.0)	(145, 228666.0)	(150, 235461.0)	(155, 240635.0)	(160, 256475.0)	(165, 253445.0)	(170, 274308.0)	(175, 296904.0)	(180, 292996.0)	(185, 301424.0)	(190, 336401.0)	(195, 329238.0)	(200, 353881.0)	(205, 371744.0)	(210, 399915.0)	(215, 443639.0)	(220, 458889.0)	(225, 474959.0)	(230, 476177.0)	(235, 492735.0)	(240, 550498.0)	(245, 2410363.0)	(250, 23797321.0)
SRR22576119	(50, 83625.0)	(55, 82939.0)	(60, 87356.0)	(65, 92696.0)	(70, 94135.0)	(75, 100708.0)	(80, 102440.0)	(85, 108690.0)	(90, 117576.0)	(95, 132272.0)	(100, 245204.0)	(105, 356647.0)	(110, 411404.0)	(115, 497963.0)	(120, 533570.0)	(125, 547835.0)	(130, 564471.0)	(135, 611176.0)	(140, 649386.0)	(145, 2831522.0)	(150, 72706346.0)																				
SRR22576120	(50, 229853.0)	(55, 222021.0)	(60, 224415.0)	(65, 231731.0)	(70, 229651.0)	(75, 235481.0)	(80, 236928.0)	(85, 245739.0)	(90, 265418.0)	(95, 299155.0)	(100, 641804.0)	(105, 1082251.0)	(110, 1347843.0)	(115, 1663408.0)	(120, 1777115.0)	(125, 1790463.0)	(130, 1814996.0)	(135, 1926183.0)	(140, 1981317.0)	(145, 6119485.0)	(150, 142930159.0)																				
SRR22576121	(50, 123317.0)	(55, 122730.0)	(60, 128482.0)	(65, 136672.0)	(70, 138700.0)	(75, 146463.0)	(80, 151159.0)	(85, 160535.0)	(90, 171377.0)	(95, 190104.0)	(100, 297662.0)	(105, 404914.0)	(110, 454042.0)	(115, 550449.0)	(120, 569077.0)	(125, 592752.0)	(130, 595717.0)	(135, 642128.0)	(140, 670915.0)	(145, 2784016.0)	(150, 72224951.0)																				
SRR22576122	(50, 172149.0)	(55, 169191.0)	(60, 175151.0)	(65, 183264.0)	(70, 182322.0)	(75, 190565.0)	(80, 192852.0)	(85, 203476.0)	(90, 215050.0)	(95, 230022.0)	(100, 318957.0)	(105, 417261.0)	(110, 452543.0)	(115, 536686.0)	(120, 568011.0)	(125, 592294.0)	(130, 609127.0)	(135, 665149.0)	(140, 718050.0)	(145, 4131152.0)	(150, 110487220.0)																				
SRR22576123	(50, 129798.0)	(55, 130340.0)	(60, 137445.0)	(65, 147839.0)	(70, 149692.0)	(75, 160036.0)	(80, 163715.0)	(85, 174588.0)	(90, 184783.0)	(95, 200003.0)	(100, 265464.0)	(105, 344340.0)	(110, 378350.0)	(115, 451860.0)	(120, 485602.0)	(125, 514875.0)	(130, 537223.0)	(135, 594258.0)	(140, 650849.0)	(145, 3812143.0)	(150, 93167919.0)																				
SRR22576124	(50, 92723.0)	(55, 90637.0)	(60, 94617.0)	(65, 99055.0)	(70, 98435.0)	(75, 103687.0)	(80, 104646.0)	(85, 110152.0)	(90, 115108.0)	(95, 122995.0)	(100, 176679.0)	(105, 235650.0)	(110, 251326.0)	(115, 302497.0)	(120, 317413.0)	(125, 330832.0)	(130, 341498.0)	(135, 372664.0)	(140, 402455.0)	(145, 2420032.0)	(150, 75338378.0)																				
SRR22576125	(50, 248603.0)	(55, 242393.0)	(60, 249342.0)	(65, 258377.0)	(70, 257052.0)	(75, 265855.0)	(80, 268119.0)	(85, 279652.0)	(90, 292947.0)	(95, 310364.0)	(100, 430239.0)	(105, 551950.0)	(110, 600070.0)	(115, 712454.0)	(120, 746442.0)	(125, 773017.0)	(130, 789698.0)	(135, 857279.0)	(140, 915970.0)	(145, 5049957.0)	(150, 130253851.0)																				
SRR22576126	(50, 126742.0)	(55, 124052.0)	(60, 127266.0)	(65, 132380.0)	(70, 130991.0)	(75, 136679.0)	(80, 137967.0)	(85, 145722.0)	(90, 152015.0)	(95, 161970.0)	(100, 225118.0)	(105, 302251.0)	(110, 322219.0)	(115, 389444.0)	(120, 412225.0)	(125, 436434.0)	(130, 449164.0)	(135, 496376.0)	(140, 532966.0)	(145, 3054038.0)	(150, 97780369.0)																				
SRR22576127	(50, 157933.0)	(55, 157736.0)	(60, 166543.0)	(65, 178548.0)	(70, 180436.0)	(75, 192191.0)	(80, 196547.0)	(85, 209377.0)	(90, 220821.0)	(95, 237535.0)	(100, 299938.0)	(105, 365195.0)	(110, 388207.0)	(115, 465191.0)	(120, 489160.0)	(125, 520960.0)	(130, 540351.0)	(135, 601436.0)	(140, 659120.0)	(145, 3886627.0)	(150, 88447813.0)																				
SRR22576128	(50, 62849.0)	(55, 61197.0)	(60, 64365.0)	(65, 68099.0)	(70, 68468.0)	(75, 71642.0)	(80, 73662.0)	(85, 77445.0)	(90, 82131.0)	(95, 88512.0)	(100, 121402.0)	(105, 153748.0)	(110, 162941.0)	(115, 193627.0)	(120, 199532.0)	(125, 208855.0)	(130, 215487.0)	(135, 237472.0)	(140, 258099.0)	(145, 1551140.0)	(150, 39219335.0)																				
SRR22576129	(50, 177815.0)	(55, 172516.0)	(60, 177547.0)	(65, 186875.0)	(70, 187130.0)	(75, 194564.0)	(80, 196436.0)	(85, 206310.0)	(90, 216538.0)	(95, 229606.0)	(100, 284398.0)	(105, 344036.0)	(110, 364737.0)	(115, 427067.0)	(120, 442837.0)	(125, 465670.0)	(130, 478142.0)	(135, 524699.0)	(140, 571022.0)	(145, 3505931.0)	(150, 74963477.0)																				
SRR22576130	(50, 99825.0)	(55, 98360.0)	(60, 101479.0)	(65, 105776.0)	(70, 105633.0)	(75, 110385.0)	(80, 111519.0)	(85, 117169.0)	(90, 123681.0)	(95, 131752.0)	(100, 166130.0)	(105, 210753.0)	(110, 216083.0)	(115, 258461.0)	(120, 270607.0)	(125, 284213.0)	(130, 291100.0)	(135, 320145.0)	(140, 346746.0)	(145, 2337974.0)	(150, 69335157.0)																				
SRR22576131	(50, 78798.0)	(55, 76786.0)	(60, 77716.0)	(65, 78603.0)	(70, 78742.0)	(75, 77695.0)	(80, 78709.0)	(85, 79383.0)	(90, 84925.0)	(95, 85372.0)	(100, 95521.0)	(105, 107509.0)	(110, 114205.0)	(115, 128704.0)	(120, 130639.0)	(125, 141309.0)	(130, 147890.0)	(135, 165212.0)	(140, 167145.0)	(145, 187333.0)	(150, 198759.0)	(155, 214305.0)	(160, 235046.0)	(165, 248180.0)	(170, 274802.0)	(175, 306591.0)	(180, 328358.0)	(185, 349220.0)	(190, 396170.0)	(195, 409825.0)	(200, 458553.0)	(205, 491352.0)	(210, 546247.0)	(215, 594608.0)	(220, 641170.0)	(225, 671057.0)	(230, 697990.0)	(235, 729003.0)	(240, 795159.0)	(245, 2334933.0)	(250, 19879798.0)
SRR22576132	(50, 113053.0)	(55, 110627.0)	(60, 112921.0)	(65, 115305.0)	(70, 117644.0)	(75, 124317.0)	(80, 135734.0)	(85, 140104.0)	(90, 156299.0)	(95, 152258.0)	(100, 166887.0)	(105, 170247.0)	(110, 178803.0)	(115, 185432.0)	(120, 194574.0)	(125, 192955.0)	(130, 206801.0)	(135, 207595.0)	(140, 218401.0)	(145, 223424.0)	(150, 236031.0)	(155, 237947.0)	(160, 253286.0)	(165, 251107.0)	(170, 271538.0)	(175, 297447.0)	(180, 282715.0)	(185, 304437.0)	(190, 329410.0)	(195, 335517.0)	(200, 345225.0)	(205, 374530.0)	(210, 388556.0)	(215, 447565.0)	(220, 445704.0)	(225, 474617.0)	(230, 466390.0)	(235, 489082.0)	(240, 537347.0)	(245, 2414866.0)	(250, 26298728.0)
