Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
SRR22576113	(24.0, 2.0)	(25.0, 73.0)	(26.0, 732.0)	(27.0, 5647.0)	(28.0, 27773.0)	(29.0, 104673.0)	(30.0, 302277.0)	(31.0, 737749.0)	(32.0, 1501984.0)	(33.0, 2772003.0)	(34.0, 5053287.0)	(35.0, 11699267.0)	(36.0, 17807499.0)	(37.0, 83784.0)	
SRR22576114	(24.0, 6.0)	(25.0, 63.0)	(26.0, 669.0)	(27.0, 4827.0)	(28.0, 21464.0)	(29.0, 78125.0)	(30.0, 221730.0)	(31.0, 545779.0)	(32.0, 1165714.0)	(33.0, 2375251.0)	(34.0, 5055997.0)	(35.0, 13992999.0)	(36.0, 49028211.0)	(37.0, 3330303.0)	
SRR22576115	(24.0, 3.0)	(25.0, 89.0)	(26.0, 965.0)	(27.0, 6510.0)	(28.0, 29548.0)	(29.0, 105153.0)	(30.0, 293136.0)	(31.0, 708779.0)	(32.0, 1479427.0)	(33.0, 2935323.0)	(34.0, 6186780.0)	(35.0, 20070961.0)	(36.0, 105784566.0)	(37.0, 11108890.0)	
SRR22576116	(24.0, 1.0)	(25.0, 52.0)	(26.0, 551.0)	(27.0, 3488.0)	(28.0, 16149.0)	(29.0, 61938.0)	(30.0, 191986.0)	(31.0, 523636.0)	(32.0, 1239139.0)	(33.0, 2784477.0)	(34.0, 6287501.0)	(35.0, 16915382.0)	(36.0, 45996744.0)	(37.0, 2331239.0)	
SRR22576117	(24.0, 1.0)	(25.0, 110.0)	(26.0, 1409.0)	(27.0, 10259.0)	(28.0, 47732.0)	(29.0, 170339.0)	(30.0, 471061.0)	(31.0, 1123319.0)	(32.0, 2315544.0)	(33.0, 4501008.0)	(34.0, 8878967.0)	(35.0, 21921045.0)	(36.0, 71789620.0)	(37.0, 4753965.0)	
SRR22576118	(24.0, 3.0)	(25.0, 70.0)	(26.0, 810.0)	(27.0, 6589.0)	(28.0, 32361.0)	(29.0, 116298.0)	(30.0, 327411.0)	(31.0, 792986.0)	(32.0, 1623470.0)	(33.0, 3006373.0)	(34.0, 5341371.0)	(35.0, 10924406.0)	(36.0, 14185106.0)	(37.0, 61656.0)	
SRR22576119	(24.0, 2.0)	(25.0, 44.0)	(26.0, 435.0)	(27.0, 2903.0)	(28.0, 12459.0)	(29.0, 44180.0)	(30.0, 131032.0)	(31.0, 339911.0)	(32.0, 755340.0)	(33.0, 1596244.0)	(34.0, 3630894.0)	(35.0, 12360383.0)	(36.0, 57582196.0)	(37.0, 4501938.0)	
SRR22576120	(24.0, 6.0)	(25.0, 122.0)	(26.0, 1388.0)	(27.0, 9274.0)	(28.0, 40454.0)	(29.0, 138300.0)	(30.0, 380151.0)	(31.0, 904123.0)	(32.0, 1868131.0)	(33.0, 3688214.0)	(34.0, 7760610.0)	(35.0, 25105809.0)	(36.0, 114972225.0)	(37.0, 10626609.0)	
SRR22576121	(24.0, 1.0)	(25.0, 57.0)	(26.0, 715.0)	(27.0, 4601.0)	(28.0, 20170.0)	(29.0, 70202.0)	(30.0, 197006.0)	(31.0, 478223.0)	(32.0, 1023647.0)	(33.0, 2100994.0)	(34.0, 4398591.0)	(35.0, 12615355.0)	(36.0, 55416549.0)	(37.0, 4930051.0)	
SRR22576122	(25.0, 69.0)	(26.0, 822.0)	(27.0, 5486.0)	(28.0, 25306.0)	(29.0, 93686.0)	(30.0, 270385.0)	(31.0, 681068.0)	(32.0, 1497395.0)	(33.0, 3169107.0)	(34.0, 7044124.0)	(35.0, 21279177.0)	(36.0, 81887046.0)	(37.0, 5456821.0)		
SRR22576123	(24.0, 1.0)	(25.0, 42.0)	(26.0, 511.0)	(27.0, 3061.0)	(28.0, 13048.0)	(29.0, 49264.0)	(30.0, 155666.0)	(31.0, 441596.0)	(32.0, 1082154.0)	(33.0, 2541581.0)	(34.0, 6221689.0)	(35.0, 19760491.0)	(36.0, 68428469.0)	(37.0, 4083549.0)	
SRR22576124	(24.0, 1.0)	(25.0, 39.0)	(26.0, 387.0)	(27.0, 2823.0)	(28.0, 12949.0)	(29.0, 48665.0)	(30.0, 142742.0)	(31.0, 363944.0)	(32.0, 809677.0)	(33.0, 1711752.0)	(34.0, 3832063.0)	(35.0, 12054840.0)	(36.0, 57682481.0)	(37.0, 4859116.0)	
SRR22576125	(24.0, 4.0)	(25.0, 115.0)	(26.0, 1450.0)	(27.0, 9812.0)	(28.0, 44337.0)	(29.0, 157550.0)	(30.0, 437168.0)	(31.0, 1047318.0)	(32.0, 2174836.0)	(33.0, 4321113.0)	(34.0, 9049551.0)	(35.0, 25598212.0)	(36.0, 94791700.0)	(37.0, 6720465.0)	
SRR22576126	(24.0, 3.0)	(25.0, 65.0)	(26.0, 733.0)	(27.0, 4802.0)	(28.0, 20634.0)	(29.0, 73685.0)	(30.0, 207379.0)	(31.0, 501366.0)	(32.0, 1054504.0)	(33.0, 2128262.0)	(34.0, 4604822.0)	(35.0, 14548509.0)	(36.0, 75633898.0)	(37.0, 6997726.0)	
SRR22576127	(24.0, 1.0)	(25.0, 56.0)	(26.0, 611.0)	(27.0, 4392.0)	(28.0, 20298.0)	(29.0, 76163.0)	(30.0, 229679.0)	(31.0, 604680.0)	(32.0, 1381009.0)	(33.0, 3002090.0)	(34.0, 6788392.0)	(35.0, 19725955.0)	(36.0, 62957782.0)	(37.0, 3770557.0)	
SRR22576128	(23.0, 1.0)	(24.0, 1.0)	(25.0, 21.0)	(26.0, 277.0)	(27.0, 2138.0)	(28.0, 9639.0)	(29.0, 36719.0)	(30.0, 106522.0)	(31.0, 267270.0)	(32.0, 577222.0)	(33.0, 1185272.0)	(34.0, 2586640.0)	(35.0, 7652411.0)	(36.0, 28833560.0)	(37.0, 1982315.0)
SRR22576129	(24.0, 3.0)	(25.0, 98.0)	(26.0, 1024.0)	(27.0, 6851.0)	(28.0, 32192.0)	(29.0, 115876.0)	(30.0, 325334.0)	(31.0, 795109.0)	(32.0, 1685318.0)	(33.0, 3437299.0)	(34.0, 7326485.0)	(35.0, 19224284.0)	(36.0, 49083517.0)	(37.0, 2283963.0)	
SRR22576130	(25.0, 36.0)	(26.0, 420.0)	(27.0, 3434.0)	(28.0, 15808.0)	(29.0, 57189.0)	(30.0, 162572.0)	(31.0, 396426.0)	(32.0, 850419.0)	(33.0, 1764942.0)	(34.0, 3930085.0)	(35.0, 12190058.0)	(36.0, 51935903.0)	(37.0, 3835656.0)		
SRR22576131	(24.0, 1.0)	(25.0, 33.0)	(26.0, 441.0)	(27.0, 3409.0)	(28.0, 17155.0)	(29.0, 64828.0)	(30.0, 193011.0)	(31.0, 485527.0)	(32.0, 1006367.0)	(33.0, 1878987.0)	(34.0, 3564053.0)	(35.0, 9602894.0)	(36.0, 16068654.0)	(37.0, 97962.0)	
SRR22576132	(24.0, 1.0)	(25.0, 50.0)	(26.0, 560.0)	(27.0, 4339.0)	(28.0, 21719.0)	(29.0, 82488.0)	(30.0, 250301.0)	(31.0, 653203.0)	(32.0, 1425343.0)	(33.0, 2788255.0)	(34.0, 5170126.0)	(35.0, 11106868.0)	(36.0, 17104783.0)	(37.0, 97390.0)	
