Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22576107	(1.0, 74.89879007533385)	(2.0, 15.984453623326377)	(3.0, 4.491340487312129)	(4.0, 1.7318359092225115)	(5.0, 0.8581875174884134)	(6.0, 0.4921428967845052)	(7.0, 0.2842426056345937)	(8.0, 0.20492430756816216)	(9.0, 0.14962914372851369)	('>10', 0.7918399941068919)	('>50', 0.05843798886769958)	('>100', 0.028256953593185877)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.025918497033177515)	('>10k+', 0.0)
SRR22576108	(1.0, 69.96222674448158)	(2.0, 18.368389712547934)	(3.0, 5.715591828346252)	(4.0, 2.2816809370269664)	(5.0, 1.1359415901059906)	(6.0, 0.6698648836880374)	(7.0, 0.39785916623396667)	(8.0, 0.28848105646567174)	(9.0, 0.1727293246892088)	('>10', 0.8473748526567779)	('>50', 0.07578029024961616)	('>100', 0.059716050920743384)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.024363562587198698)	('>10k+', 0.0)
SRR22576109	(1.0, 71.30258757658714)	(2.0, 17.29117560213976)	(3.0, 5.483625485609119)	(4.0, 2.2648336630907786)	(5.0, 1.1571595923625664)	(6.0, 0.6739748424349438)	(7.0, 0.3838147466459386)	(8.0, 0.25725531441856736)	(9.0, 0.18791623747594677)	('>10', 0.8472129333705641)	('>50', 0.05584966232918633)	('>100', 0.07257005957860192)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.022024283956919518)	('>10k+', 0.0)
SRR22576110	(1.0, 52.99349309012865)	(2.0, 21.89311783341572)	(3.0, 9.181535484494393)	(4.0, 4.234837810011914)	(5.0, 2.2540398012696117)	(6.0, 1.5524699592423172)	(7.0, 1.0077411568112826)	(8.0, 0.755869762520408)	(9.0, 0.609946472525616)	('>10', 4.000252712595263)	('>50', 0.5919991640123925)	('>100', 0.8093214047801514)	('>500', 0.06120296765703254)	('>1k', 0.012558869659905875)	('>5k', 0.0)	('>10k+', 0.041613510875522244)
SRR22576112	(1.0, 40.98091139850571)	(2.0, 19.120917883333952)	(3.0, 9.300809885087471)	(4.0, 5.2778616712051445)	(5.0, 3.447194692279983)	(6.0, 2.450890255716402)	(7.0, 2.0262262087443506)	(8.0, 1.5875063011385033)	(9.0, 1.2586977877274814)	('>10', 11.743361345026294)	('>50', 1.672669720839754)	('>100', 0.9655363531039622)	('>500', 0.08387392436086485)	('>1k', 0.05740294370975259)	('>5k', 0.0)	('>10k+', 0.02613962922026708)
SRR22576113	(1.0, 78.51114469034236)	(2.0, 15.458375095385799)	(3.0, 3.5672719591268796)	(4.0, 1.173995557323035)	(5.0, 0.5445954089940461)	(6.0, 0.2636148104855737)	(7.0, 0.14810830212089302)	(8.0, 0.0948381784196355)	(9.0, 0.05354565425215906)	('>10', 0.14772867505655837)	('>50', 0.0076239570664461825)	('>100', 0.005847704474148362)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.02331000695248942)	('>10k+', 0.0)
SRR22576114	(1.0, 72.87702954078418)	(2.0, 18.99671152388081)	(3.0, 4.331636663876943)	(4.0, 1.2977352751611093)	(5.0, 0.571179431635056)	(6.0, 0.30485112832789835)	(7.0, 0.19167436459197998)	(8.0, 0.16972027793312122)	(9.0, 0.12160423153431132)	('>10', 1.0179908115035097)	('>50', 0.06696354248848516)	('>100', 0.013407857364864325)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.039495350917753774)
SRR22576115	(1.0, 49.3565715151057)	(2.0, 16.771728451200516)	(3.0, 7.351436302429311)	(4.0, 4.418077322434577)	(5.0, 2.9341580595857937)	(6.0, 2.1782097289470297)	(7.0, 1.7024474196730894)	(8.0, 1.4192291771720411)	(9.0, 1.1667964322009254)	('>10', 10.782525414461976)	('>50', 0.8415182113887002)	('>100', 0.7828976477184468)	('>500', 0.15038111438449522)	('>1k', 0.08739186235100763)	('>5k', 0.0)	('>10k+', 0.056631340946642794)
SRR22576116	(1.0, 70.58265888266905)	(2.0, 20.751531141336567)	(3.0, 5.224708610909678)	(4.0, 1.6123242004444889)	(5.0, 0.6193455327842682)	(6.0, 0.3439985519060038)	(7.0, 0.16359422959796507)	(8.0, 0.11650811345905734)	(9.0, 0.08845015117823804)	('>10', 0.43175530274325236)	('>50', 0.014641082562894337)	('>100', 0.012223852613389775)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.03826034779514372)
SRR22576117	(1.0, 62.560387693493546)	(2.0, 22.53728626765087)	(3.0, 7.438739156655856)	(4.0, 2.862674816902023)	(5.0, 1.4425441365071296)	(6.0, 0.810260347127202)	(7.0, 0.4899997112884191)	(8.0, 0.3739440811325598)	(9.0, 0.25677257093091915)	('>10', 1.131592815252398)	('>50', 0.03294852214590166)	('>100', 0.016084215428132192)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.04676566548500266)
SRR22576118	(1.0, 79.91693958598792)	(2.0, 14.494578406609154)	(3.0, 3.277112138338979)	(4.0, 0.9535056817731882)	(5.0, 0.444301467602691)	(6.0, 0.23255352412541352)	(7.0, 0.13107185110177708)	(8.0, 0.09794733378628892)	(9.0, 0.0637112177290772)	('>10', 0.32136381541903714)	('>50', 0.02088599402593105)	('>100', 0.01801718786036654)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.02801179564015987)	('>10k+', 0.0)
SRR22576119	(1.0, 43.71931258608198)	(2.0, 20.005472396284617)	(3.0, 10.171319005589709)	(4.0, 6.030241794901525)	(5.0, 4.132882477935757)	(6.0, 3.0132458811670553)	(7.0, 2.2254406637857564)	(8.0, 1.6649625169426172)	(9.0, 1.2290250316123714)	('>10', 6.830145936352931)	('>50', 0.5589254646940903)	('>100', 0.3343280900254337)	('>500', 0.008913056552173842)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.07578509807396351)
SRR22576120	(1.0, 48.50394214480944)	(2.0, 16.677756592674562)	(3.0, 7.385628605738261)	(4.0, 4.306805474120665)	(5.0, 3.0503378973923767)	(6.0, 2.3317420826340944)	(7.0, 1.8476186980108538)	(8.0, 1.4631852067622817)	(9.0, 1.2375685174234614)	('>10', 11.889745754073058)	('>50', 0.934028009292927)	('>100', 0.27360685514997957)	('>500', 0.02674205252556764)	('>1k', 0.0047160061321033855)	('>5k', 0.0)	('>10k+', 0.06657610326033199)
SRR22576121	(1.0, 58.87800780678815)	(2.0, 22.027813032877937)	(3.0, 8.179107044387909)	(4.0, 3.616920474264594)	(5.0, 1.7993273241395116)	(6.0, 1.0373841652302433)	(7.0, 0.647823751166365)	(8.0, 0.43119040850516577)	(9.0, 0.25790147722117585)	('>10', 1.3904017787709357)	('>50', 0.13335020225734354)	('>100', 0.16044839373180597)	('>500', 0.12646764331960503)	('>1k', 0.21986044441918334)	('>5k', 0.15847747598993325)	('>10k+', 0.935518576930228)
SRR22576122	(1.0, 48.89962479721615)	(2.0, 21.22552202262184)	(3.0, 9.886188229952353)	(4.0, 5.547151915243763)	(5.0, 3.5894435595637924)	(6.0, 2.3703748833449163)	(7.0, 1.678739517173406)	(8.0, 1.2588783763927938)	(9.0, 0.96688322206384)	('>10', 4.195993391685673)	('>50', 0.2060110549546976)	('>100', 0.0978494508293152)	('>500', 0.0)	('>1k', 0.001849813649893083)	('>5k', 0.0)	('>10k+', 0.07548976530752607)
SRR22576123	(1.0, 55.91926147007194)	(2.0, 20.915121983050113)	(3.0, 8.079984149484961)	(4.0, 3.812199342758042)	(5.0, 2.2060974399125004)	(6.0, 1.4182558114425325)	(7.0, 1.0732583529932695)	(8.0, 0.7498855510735667)	(9.0, 0.5732209156639558)	('>10', 3.8904408481377244)	('>50', 0.43416740626872036)	('>100', 0.5146182075701248)	('>500', 0.1345287076031592)	('>1k', 0.19706950009649038)	('>5k', 0.0291162460616967)	('>10k+', 0.05277406781103479)
SRR22576124	(1.0, 60.36223555813874)	(2.0, 21.547469742778727)	(3.0, 7.982042086528514)	(4.0, 3.5504294412774597)	(5.0, 1.9116048411833158)	(6.0, 1.0571570352812838)	(7.0, 0.7169483522982215)	(8.0, 0.4926721794168658)	(9.0, 0.37753658439946947)	('>10', 1.738340316633127)	('>50', 0.1389566831847141)	('>100', 0.0710616318689099)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.05354554701062391)
SRR22576125	(1.0, 55.559939352910014)	(2.0, 20.46600392266321)	(3.0, 8.328853620786598)	(4.0, 4.212509055275664)	(5.0, 2.495660227851603)	(6.0, 1.6310527655916465)	(7.0, 1.1702008123849739)	(8.0, 0.8371776355742646)	(9.0, 0.6722012198010031)	('>10', 4.09440122083722)	('>50', 0.32911205889180356)	('>100', 0.1532550351847298)	('>500', 0.0012253880815372936)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0484076841657084)
SRR22576126	(1.0, 57.51703950968744)	(2.0, 22.64808943039631)	(3.0, 8.858479253957462)	(4.0, 3.938413081784879)	(5.0, 2.083852306017674)	(6.0, 1.17466638327954)	(7.0, 0.7344306286955696)	(8.0, 0.5142738097104358)	(9.0, 0.3961907523047385)	('>10', 1.8864594812010096)	('>50', 0.1406233400401749)	('>100', 0.0487148885715322)	('>500', 0.0013509958085008542)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.057416138544785125)
SRR22576127	(1.0, 45.936363624896856)	(2.0, 21.04511997506693)	(3.0, 9.79144028674085)	(4.0, 5.156891424537681)	(5.0, 3.315490738039812)	(6.0, 2.3597316118220495)	(7.0, 1.7505867636140295)	(8.0, 1.3166972085352804)	(9.0, 1.0643692540903658)	('>10', 6.85014758519987)	('>50', 0.5512919240985512)	('>100', 0.4769670019072957)	('>500', 0.13783664154559613)	('>1k', 0.17407856137957353)	('>5k', 0.027513899486671507)	('>10k+', 0.04547349903873135)
SRR22576128	(1.0, 51.66971466867254)	(2.0, 20.58757053157876)	(3.0, 8.33618721984178)	(4.0, 4.419994735982836)	(5.0, 2.6934812445731504)	(6.0, 2.0432796276965393)	(7.0, 1.4315445131863738)	(8.0, 1.1358611279923583)	(9.0, 0.9118768918797711)	('>10', 6.0720580785280225)	('>50', 0.37919157990918356)	('>100', 0.2702928483366624)	('>500', 0.005674603415932001)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.043272328406145304)
SRR22576129	(1.0, 55.30518896891896)	(2.0, 22.55128387469431)	(3.0, 9.149098987152142)	(4.0, 4.263872207688148)	(5.0, 2.3751728141032316)	(6.0, 1.5490942366064318)	(7.0, 1.0036682405845982)	(8.0, 0.7524974971907261)	(9.0, 0.5030013499328639)	('>10', 2.3625556233093437)	('>50', 0.10736567008829594)	('>100', 0.031154828161427492)	('>500', 0.002816645820742409)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.043229055748750356)
SRR22576130	(1.0, 58.71218481749509)	(2.0, 21.811728767855406)	(3.0, 8.418877458111695)	(4.0, 3.774631320367522)	(5.0, 2.025443927006573)	(6.0, 1.2350108366472756)	(7.0, 0.863742162977262)	(8.0, 0.5451319375069646)	(9.0, 0.433011884872227)	('>10', 2.0068346059551954)	('>50', 0.10496171558321978)	('>100', 0.029976881188304556)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.03846368443320299)
SRR22576131	(1.0, 58.23846051259537)	(2.0, 17.388103938554085)	(3.0, 7.04543330636562)	(4.0, 3.9334434795176185)	(5.0, 2.6344245757064946)	(6.0, 1.9442242614033527)	(7.0, 1.451065047077301)	(8.0, 1.184196010007891)	(9.0, 0.9800752266958881)	('>10', 5.045576001815092)	('>50', 0.09443537488556979)	('>100', 0.03575377836510564)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.024808487010581262)	('>10k+', 0.0)
SRR22576132	(1.0, 68.10464026777055)	(2.0, 17.590669946646432)	(3.0, 6.001348493424309)	(4.0, 2.8174255792595475)	(5.0, 1.614529232446757)	(6.0, 0.9129755803170466)	(7.0, 0.7038233048613953)	(8.0, 0.4487033812887748)	(9.0, 0.32210879860919495)	('>10', 1.3059598673997963)	('>50', 0.08347450551583152)	('>100', 0.06439634145580662)	('>500', 0.0021466769436455395)	('>1k', 0.0)	('>5k', 0.027798024060928177)	('>10k+', 0.0)
